seqid	sample	count	relab	domain	phylum	class	order	family	genus	species
9a9b6a624349a9c43136b935cd200363	P28309_1061	157	0.00172519889235638	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Desulfotomaculum reducens
9a9b6a624349a9c43136b935cd200363	P28309_1062	42	8.09108247124776e-4	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Desulfotomaculum reducens
9a9b6a624349a9c43136b935cd200363	P28309_1063	151	0.001652874469109856	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Desulfotomaculaceae	Desulfotomaculum	Desulfotomaculum reducens
1f4bbbbfa2e2e5a5878d05c1233dae43	P28309_1064	27	0.012368300503893724	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Schlegelella	Schlegelella thermodepolymerans
419363d6c01e0530014c2969b7098bbe	P28309_1061	10	1.0988527976792228e-4	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	NA
419363d6c01e0530014c2969b7098bbe	P28309_1062	12	2.3117378489279317e-4	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	NA
419363d6c01e0530014c2969b7098bbe	P28309_1063	60	6.567713122290818e-4	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	NA
09403870435de24e0d1079059a287957	P28309_1064	32	0.014658726523133303	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Micrococcaceae	Micrococcus	NA
e81c8f18c0df08131145447a93c267bb	P28309_1064	330	0.1511681172698122	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	NA
e66426a2ada9df6490e54fc3709be67d	P28309_1061	77	8.461166542130016e-4	Bacteria	Bacillota	Clostridia	Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	Dethiosulfatibacter aminovorans
e66426a2ada9df6490e54fc3709be67d	P28309_1062	61	0.0011751334065383651	Bacteria	Bacillota	Clostridia	Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	Dethiosulfatibacter aminovorans
e66426a2ada9df6490e54fc3709be67d	P28309_1063	191	0.0020907220105959106	Bacteria	Bacillota	Clostridia	Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	Dethiosulfatibacter aminovorans
db424461aa669374102fa17ac4539038	P28309_1063	5	5.473094268575682e-5	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	NA
916bb5f72130c28b2e28f7bc5294b5f1	P28309_1061	56	6.153575667003648e-4	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	NA
916bb5f72130c28b2e28f7bc5294b5f1	P28309_1062	7	1.34851374520796e-4	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	NA
916bb5f72130c28b2e28f7bc5294b5f1	P28309_1063	54	5.910941810061736e-4	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	NA
aba40b56e78198cde8d8f77ff082cf6e	P28309_1061	63	6.922772625379104e-4	Bacteria	Bacillota	Clostridia	Tissierellales	Tissierellaceae	Gudongella	Gudongella oleilytica
aba40b56e78198cde8d8f77ff082cf6e	P28309_1062	44	8.47637211273575e-4	Bacteria	Bacillota	Clostridia	Tissierellales	Tissierellaceae	Gudongella	Gudongella oleilytica
aba40b56e78198cde8d8f77ff082cf6e	P28309_1063	171	0.0018717982398528833	Bacteria	Bacillota	Clostridia	Tissierellales	Tissierellaceae	Gudongella	Gudongella oleilytica
e9e2a7f614f0a4cd07841680ece40325	P28309_1061	26	2.8570172739659795e-4	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA
e9e2a7f614f0a4cd07841680ece40325	P28309_1062	21	4.04554123562388e-4	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA
e9e2a7f614f0a4cd07841680ece40325	P28309_1063	60	6.567713122290818e-4	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA
a6514a007b7dbce3a0024d1b8f12a05c	P28309_1061	202	0.00221968265131203	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Pelotomaculaceae	NA	NA
a6514a007b7dbce3a0024d1b8f12a05c	P28309_1063	61	6.677175007662332e-4	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Pelotomaculaceae	NA	NA
d685c82c6a6dc94094dd78eee36ee894	P28309_1063	21	2.2986995928017865e-4	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	NA
